SPATIAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
1001,0.7568348198877364,0.18370905920180203,0.004105433341205108,0.008065541608385256,0.00010899380551871968,0.02145361405293466,0.025722538102417845,0.05328187202641033,0.42521118555199533,0.23208563938246432,0.28942130303913,0.06,0.064,0.09300000000000003,0.09699999999999999,0.15,0.195,0.132,0.147,0.038,0.023
1003,0.8317878803067515,0.09225602726680367,0.006155079945867375,0.006641271114229863,0.0,0.019492757255275425,0.04366698411107213,0.04407369234733316,0.35434810615820667,0.24215408399896934,0.35942411749549086,0.06,0.05599999999999999,0.11699999999999999,0.107,0.145,0.18600000000000003,0.12,0.127,0.03899999999999999,0.043000000000000003
1005,0.4588562410761253,0.4788832945066506,0.0017284136168933643,0.0044337566694221085,0.0,0.013000676335763132,0.04309761779514541,0.09952583936012262,0.5176972077206763,0.19301690693998755,0.18976004597921356,0.14499999999999996,0.098,0.15399999999999997,0.112,0.15,0.14600000000000002,0.09400000000000001,0.079,0.014999999999999998,0.005
1007,0.747651958178274,0.21212121212121213,0.0035885167464114833,0.0006202374623427255,0.0,0.01377813219918483,0.022239943292574872,0.08060170633138752,0.5253143242029636,0.23518185900314323,0.1589021104625056,0.085,0.054,0.16799999999999998,0.14400000000000002,0.152,0.17700000000000002,0.11399999999999999,0.076,0.022000000000000002,0.007999999999999998
1009,0.8765770137252183,0.015579509219464854,0.0029633994177180093,0.0015943435463746014,0.0,0.016012754748370998,0.08727297934285318,0.08128698727977689,0.44582001224406503,0.2495068362696415,0.22338616420651655,0.08099999999999999,0.061,0.10800000000000004,0.13400000000000004,0.155,0.218,0.11,0.095,0.026000000000000002,0.012
1011,0.2168309325246399,0.7550227445034117,0.00796057619408643,0.00796057619408643,0.0,0.010993176648976498,0.0012319939347990902,0.08746073930901184,0.6005073689296931,0.18688088910364822,0.12515100265764678,0.18299999999999994,0.10400000000000001,0.142,0.128,0.129,0.179,0.081,0.034999999999999996,0.005999999999999999,0.011999999999999999
1013,0.527810650887574,0.43515779092702167,0.0007396449704142012,0.010009861932938856,0.0,0.013806706114398421,0.01247534516765286,0.08374606033318326,0.4977809223644433,0.20132501447224546,0.217148002830128,0.123,0.08699999999999998,0.18100000000000005,0.11599999999999999,0.14,0.16199999999999998,0.08800000000000002,0.07200000000000001,0.023,0.005999999999999999
1015,0.7299776498709906,0.20331713883831107,0.0019761310977451396,0.009311115521689981,5.177636063961064e-05,0.02100394363280205,0.0343622446778216,0.06509164247246293,0.42383812415504973,0.2849670884953791,0.22610314487710823,0.09800000000000003,0.075,0.13000000000000003,0.12099999999999997,0.15,0.19,0.10099999999999996,0.09800000000000003,0.022,0.016
1017,0.5674348874125463,0.404785701687342,0.002292903756834617,0.009171615027338468,0.0,0.01196425421835499,0.0043506378975836325,0.06328782494856929,0.5199925191696279,0.2291004301477464,0.18761922573405648,0.105,0.08199999999999999,0.16299999999999998,0.137,0.15899999999999997,0.161,0.10999999999999999,0.05900000000000001,0.014,0.011000000000000003
1019,0.9187164536432791,0.046067112020697375,0.00586940572267058,0.0033208479746688804,0.0,0.010387303548673591,0.015638877090010425,0.06523747022507413,0.4802877837732731,0.24641485586505274,0.20805989013660006,0.09,0.077,0.139,0.134,0.167,0.17099999999999999,0.095,0.09300000000000003,0.022000000000000002,0.012
1021,0.8061026542209645,0.10009813542688911,0.003058173768172171,0.004359038729260333,0.0,0.010133053381107789,0.07624894447360614,0.07767779215698077,0.5317362386011376,0.19153098383844464,0.19905498540343697,0.095,0.08099999999999999,0.109,0.14300000000000004,0.14300000000000004,0.18600000000000003,0.11299999999999999,0.09400000000000001,0.023000000000000003,0.013000000000000001
1023,0.562053134642884,0.42229246632046363,0.00015052306766011892,0.0004515692029803567,0.0,0.009482953262587492,0.005569353503424399,0.0872043317184383,0.504512206706564,0.22371045882017668,0.18457300275482094,0.134,0.091,0.17500000000000002,0.128,0.11699999999999997,0.156,0.07400000000000002,0.081,0.031,0.013000000000000005
1025,0.5317744596933232,0.4549442588642492,0.00032197045921036747,0.0045880790437477365,0.0013281281442427658,0.005312512576971063,0.001730591218255725,0.0653700140412918,0.5873940402517032,0.1777523532164959,0.16948359249050912,0.20600000000000007,0.071,0.11900000000000004,0.12300000000000001,0.115,0.13,0.08900000000000001,0.104,0.024,0.019
1027,0.8026403619372543,0.1474449306534154,0.008825928947563599,0.0,0.0,0.010012608469925091,0.03107616999184158,0.12016274008893935,0.48159712366354435,0.22547071624562398,0.17276942000189233,0.092,0.08600000000000001,0.14300000000000002,0.14599999999999996,0.17,0.16799999999999998,0.095,0.06899999999999999,0.013999999999999999,0.018
1029,0.9279567740644387,0.02361416850110066,0.0014008405043025814,0.005736775398572477,0.0,0.018010806483890335,0.023280635047695283,0.08454632615706441,0.5504227316307854,0.21223742700252768,0.1527935152096226,0.10699999999999997,0.09200000000000001,0.176,0.11199999999999999,0.135,0.19,0.078,0.08299999999999999,0.018,0.009000000000000001
1031,0.7137141848561511,0.17004961659900766,0.008256358965307603,0.012217842364338805,0.0,0.030181796787668413,0.06558020042752642,0.0669685353366436,0.38413645836013277,0.24556844786333581,0.3033265584398878,0.081,0.065,0.119,0.113,0.136,0.17600000000000002,0.115,0.132,0.044000000000000004,0.019
1033,0.788531916067455,0.1564816006767567,0.006031962042775438,0.004248119609393678,0.0005700939735549957,0.020118800228037588,0.024017507402026593,0.06282538342479246,0.45075277895033067,0.24963650860653816,0.23678532901833874,0.097,0.071,0.133,0.11200000000000002,0.136,0.195,0.12300000000000001,0.095,0.027999999999999994,0.01
1035,0.5072064267149721,0.4621564149011578,0.0014964164763329921,0.0011026226667716784,0.0,0.010396156572418682,0.017641962668346854,0.08018629138402349,0.5925888427660221,0.19196112179811683,0.1352637440518376,0.161,0.128,0.17600000000000002,0.13800000000000004,0.13,0.14099999999999996,0.07200000000000001,0.033,0.015,0.006
1037,0.6502209131075111,0.3236377025036819,0.0007363770250368188,0.0,0.0,0.012518409425625921,0.01288659793814433,0.11350315599639314,0.5089044183949504,0.2391794409377818,0.13841298467087465,0.097,0.113,0.15,0.17999999999999997,0.14699999999999996,0.172,0.08199999999999999,0.025,0.027,0.006
1039,0.8351400779241432,0.12976755281083516,0.0034456253810066528,0.004664846669670545,0.0006096106443319462,0.011052506029844417,0.01531978054016804,0.08299615790010541,0.4556118459079936,0.233960082962157,0.227431913229744,0.10499999999999997,0.075,0.13900000000000004,0.15300000000000002,0.133,0.18600000000000005,0.08700000000000001,0.08,0.026000000000000002,0.015
1041,0.7086931491076569,0.2367587795048935,0.00885146804835924,0.01669545192861255,0.0,0.012161773172135867,0.01683937823834197,0.10654972942713192,0.4966411643963426,0.19966411643963425,0.1971449897368912,0.106,0.125,0.14300000000000002,0.106,0.147,0.167,0.089,0.08099999999999999,0.019,0.017
1043,0.9246396773082788,0.01036696345122731,0.005226523685375572,0.006111958286192139,0.0001844655418367849,0.011338481971567711,0.04213192975552167,0.08333201135840855,0.4476101337309834,0.23402128908418865,0.2350365658264194,0.10000000000000002,0.065,0.139,0.131,0.18199999999999997,0.17,0.09599999999999999,0.075,0.023999999999999997,0.018000000000000006
1045,0.7019170681557039,0.19402503678916283,0.005765315378877981,0.010240490253391658,0.00022174289918761464,0.02894752756667406,0.05888281895700204,0.06082525937854748,0.41421368040338974,0.2881279864832757,0.2368330737347871,0.108,0.075,0.13000000000000003,0.10099999999999999,0.14300000000000004,0.198,0.104,0.09300000000000003,0.028999999999999998,0.019
1047,0.2806932844107565,0.6949741708106021,0.0021966880702940185,0.00393472698305412,0.0005793463042533674,0.008038429971515474,0.009583353449524453,0.07282524522457408,0.49593443469282394,0.23044656685596282,0.20079375322663914,0.202,0.09300000000000001,0.169,0.127,0.125,0.112,0.07,0.07,0.011999999999999999,0.018000000000000006
1049,0.8101554900827495,0.014773672413550052,0.012856478283547372,0.0030167613516218616,0.000986791096324908,0.018058277062745817,0.14015252970946052,0.13415250903778073,0.47532170753179614,0.20527469234083204,0.1852510910895911,0.10900000000000001,0.07799999999999999,0.13699999999999998,0.13300000000000003,0.159,0.196,0.098,0.063,0.014000000000000002,0.013
1051,0.7368850130316094,0.21112442407697915,0.0020257667650728163,0.005644972022184617,0.0,0.016304952011561694,0.028014872092592364,0.05818537273251714,0.43715146464970195,0.2232549195564387,0.2814082430613422,0.062,0.048,0.10300000000000001,0.10800000000000003,0.149,0.182,0.14199999999999996,0.147,0.034,0.024
1053,0.6059405940594059,0.3233003300330033,0.034666666666666665,0.001056105610561056,0.0017689768976897689,0.012673267326732674,0.020594059405940595,0.09251460399402255,0.5368496128243445,0.20506724629805734,0.1655685368835756,0.14100000000000001,0.104,0.17100000000000004,0.11200000000000002,0.14200000000000002,0.149,0.07600000000000001,0.07100000000000001,0.019000000000000003,0.015
1055,0.7843135357913373,0.15284966574112593,0.00400530170370442,0.006762574615674854,0.0006482010003579618,0.015121465127753645,0.036299256020045856,0.07361734858447262,0.42444731161452,0.2761084782770513,0.22582686152395604,0.08600000000000001,0.07300000000000001,0.162,0.11999999999999997,0.14,0.19099999999999998,0.111,0.08,0.019,0.018000000000000006
1057,0.8522910087588631,0.12238574748257165,0.0,0.0026812846332598464,0.0,0.01406184829887386,0.008580110826431508,0.0870522161505768,0.5000758955676988,0.225789313904068,0.18708257437765635,0.12300000000000003,0.085,0.13799999999999998,0.133,0.16800000000000007,0.153,0.109,0.056,0.017,0.015
1059,0.780730370886517,0.04060431381243468,0.007411395812878092,0.0032306084312545527,0.0005701073702213917,0.007284705286162227,0.1601684984005321,0.12197673445476609,0.47790610092894803,0.21654531759979914,0.18357184701648674,0.1,0.07800000000000001,0.173,0.133,0.17200000000000001,0.155,0.093,0.06400000000000002,0.018,0.012
1061,0.840612740519335,0.09422753596114328,0.004707640575378293,0.003848309359237811,0.0,0.019540444610498784,0.037063328974406874,0.09821428571428571,0.48910330261136714,0.23382296466973887,0.1788594470046083,0.098,0.086,0.181,0.11800000000000001,0.15,0.165,0.10300000000000001,0.06699999999999999,0.019,0.013000000000000003
1063,0.17142191685105393,0.8118085478048213,0.004075928729474787,0.001630371491789915,0.0,0.004891114475369745,0.006172120647490393,0.10004547521600728,0.5464605123541003,0.20706381688646355,0.14643019554342884,0.22,0.16,0.16499999999999998,0.109,0.14800000000000002,0.09299999999999999,0.05200000000000002,0.032,0.021,0.0
1065,0.3996965499043473,0.5828220858895705,0.0032324031928227456,0.001055478593574774,0.0005937067088858105,0.000527739296787387,0.01207203641401148,0.07616008280144902,0.544937036398137,0.19389339313437984,0.18500948766603414,0.158,0.105,0.135,0.12299999999999998,0.12299999999999998,0.17700000000000002,0.08399999999999999,0.057,0.02,0.018
1067,0.6856344911851981,0.2788735672310467,0.0,0.0,0.0,0.010182114388782219,0.025309827194972944,0.0699372925119882,0.48601991884913315,0.22589450387310955,0.21814828476576908,0.094,0.08499999999999999,0.144,0.11800000000000002,0.144,0.185,0.08,0.09899999999999999,0.04,0.011000000000000001
1069,0.6745242610043218,0.2637475815999461,0.003417042862230607,0.008210528342204811,0.00019250945702707644,0.018038136123437062,0.03186994061083251,0.05901817401078569,0.41935361648922065,0.25047045302416043,0.27115775647583323,0.091,0.076,0.135,0.11699999999999999,0.155,0.168,0.106,0.091,0.030000000000000002,0.032
1071,0.8949209245742092,0.03294175790754258,0.007717457420924574,0.003725669099756691,0.0003991788321167883,0.03301779197080292,0.027277220194647202,0.08486143832122993,0.5263886527578753,0.19731377358948826,0.1914361353314065,0.11299999999999999,0.08,0.136,0.13199999999999998,0.156,0.182,0.095,0.073,0.016,0.018000000000000006
1073,0.5067091895566048,0.42339659169529176,0.001741779649702016,0.015034228701130033,0.00026399796084333694,0.01596125602340175,0.036892956413026326,0.04233959314513105,0.3381127397763206,0.2615817045584642,0.35796596252008417,0.096,0.063,0.117,0.10800000000000001,0.136,0.17100000000000004,0.10800000000000001,0.115,0.043,0.044
1075,0.8613678373382625,0.11261197213138063,0.0029859235034835774,0.0,0.0,0.008744490260201906,0.014289776766671406,0.10675381263616558,0.47467320261437906,0.23729121278140886,0.18128177196804648,0.11599999999999999,0.09400000000000001,0.14000000000000004,0.158,0.16799999999999998,0.16799999999999998,0.068,0.05900000000000002,0.017,0.012
1077,0.849915264299824,0.09763495644477067,0.004004706339525696,0.006789650370786153,0.00016191535065467774,0.017562418367677378,0.02393108882676137,0.05949454757798389,0.41890625636568574,0.2734902290967856,0.2481089669595448,0.094,0.07200000000000001,0.131,0.104,0.159,0.184,0.11,0.094,0.027999999999999997,0.024
1079,0.7665779319833698,0.11366015613316184,0.049442167917925404,0.0009272275895073729,0.0,0.04872431430024227,0.02066820207579338,0.08835802610926075,0.526319819302477,0.22269438382910303,0.1626277707591593,0.08400000000000003,0.081,0.13100000000000003,0.13100000000000003,0.136,0.187,0.11499999999999999,0.10700000000000001,0.022000000000000002,0.005
1081,0.6786751284532989,0.23086516788245307,0.0011562420833143873,0.0355252132227325,7.14531624520127e-05,0.01680448466030517,0.036902310535444016,0.04852667596837419,0.28338648594777754,0.32246196266028837,0.3456248754235599,0.13200000000000003,0.063,0.121,0.09300000000000003,0.13,0.16299999999999998,0.11,0.114,0.042,0.032
1083,0.7743665311277795,0.12674917180938874,0.005838882302757681,0.012331453516070776,0.00013295367672313505,0.023687913402838563,0.05689309416444154,0.0801555970095296,0.4100039043859269,0.232860468815525,0.27698002978901853,0.077,0.059000000000000004,0.11299999999999999,0.105,0.13500000000000004,0.171,0.122,0.13,0.051,0.037000000000000005
1085,0.24401325130146712,0.7464268812115475,0.0007572172266919072,0.0,0.0,0.004070042593469002,0.00473260766682442,0.09097633136094675,0.5361193293885601,0.1976084812623274,0.1752958579881657,0.163,0.12,0.17600000000000002,0.105,0.14599999999999996,0.14599999999999996,0.055,0.07,0.005,0.013000000000000001
1087,0.15423694371062793,0.8153322495427758,0.002844950213371266,0.002235318024791709,0.0,0.008890469416785207,0.01646006909164804,0.06461405030355594,0.3798785776235906,0.34611572295874116,0.20939164911411226,0.17000000000000004,0.081,0.16,0.10800000000000001,0.17399999999999996,0.124,0.084,0.07000000000000002,0.026,0.003
1089,0.6543104753795292,0.2398299297374369,0.005500424318447423,0.024367594071542664,0.0009200709769039326,0.028319327490977875,0.04675217802516194,0.040216898469841014,0.2743890975711353,0.24504292628622193,0.4403510776728018,0.066,0.05099999999999999,0.09,0.093,0.126,0.16500000000000004,0.12200000000000001,0.161,0.07,0.057
1091,0.45450014950662815,0.5276088906608193,0.0024917771354530053,0.0021429283364895846,0.0,0.0037875012458885677,0.00946875311472142,0.07613062070752884,0.4782298820785279,0.24070234547103797,0.20493715174290528,0.20199999999999999,0.07000000000000002,0.164,0.13199999999999998,0.113,0.13399999999999998,0.07000000000000002,0.078,0.024,0.011000000000000003
1093,0.920466946658289,0.032474618869671616,0.003803035814676411,0.00324084791163729,0.0,0.01600582029829029,0.02400873044743543,0.09478096835045063,0.45722070844686646,0.25231607629427794,0.19568224690840494,0.103,0.09,0.183,0.13,0.14600000000000002,0.145,0.08,0.08800000000000001,0.015,0.019
1095,0.8234180294920346,0.020902532422197306,0.004347642118179703,0.005881481794909768,0.00021156409334207799,0.016078871093997926,0.12915987898533862,0.10242648195242578,0.43338063591530496,0.23816615851516726,0.226026723617102,0.078,0.07700000000000001,0.159,0.13500000000000004,0.15400000000000003,0.16399999999999995,0.09800000000000002,0.087,0.022,0.026000000000000002
