SPATIAL,EDU_TOTAL,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR
01001,41196,2195,17517,9561,11923
01003,155240,6842,55009,37592,55797
01005,20879,2078,10809,4030,3962
01007,17816,1436,9359,4190,2831
01009,44103,3585,19662,11004,9852
01011,8278,724,4971,1547,1036
01013,15547,1302,7739,3130,3376
01015,90242,5874,38248,25716,20404
01017,26735,1692,13902,6125,5016
01019,20571,1342,9880,5069,4280
01021,33227,2581,17668,6364,6614
01023,10527,918,5311,2355,1943
01025,19229,1257,11295,3418,3259
01027,10569,1270,5090,2383,1826
01029,11473,970,6315,2435,1753
01031,38869,2603,14931,9545,11790
01033,42642,2679,19221,10645,10097
01035,9877,792,5853,1896,1336
01037,8872,1007,4515,2122,1228
01039,29411,2441,13400,6881,6689
01041,10718,1142,5323,2140,2113
01043,63037,5253,28216,14752,14816
01045,37879,2304,15690,10914,8971
01047,30992,2257,15370,7142,6223
01049,53387,7162,25376,10959,9890
01051,62404,3631,27280,13932,17561
01053,29444,2724,15807,6038,4875
01055,80606,5934,34213,22256,18203
01057,13176,1147,6589,2975,2465
01059,23898,2915,11421,5175,4387
01061,20832,2046,10189,4871,3726
01063,6597,660,3605,1366,966
01065,11594,883,6318,2248,2145
01067,13555,948,6588,3062,2957
01069,79179,4673,33204,19832,21470
01071,41173,3494,21673,8124,7882
01073,506618,21450,171294,132522,181352
01075,11016,1176,5229,2614,1997
01077,73637,4381,30847,20139,18270
01079,26121,2308,13748,5817,4248
01081,120408,5843,34122,38827,41616
01083,69153,5543,28353,16103,19154
01085,8112,738,4349,1603,1422
01087,16142,1043,6132,5587,3380
01089,271279,10910,74436,66475,119458
01091,15434,1175,7381,3715,3163
01093,23855,2261,10907,6019,4668
01095,71173,7290,30845,16951,16087
01097,314896,18282,131071,78537,87006
01099,16829,1521,9296,2986,3026
01101,174528,11588,60535,43219,59186
01103,91850,7305,37404,22565,24576
01105,7636,661,3938,1905,1132
