SPATIAL,EDU_TOTAL,EDU_ELEMENTAR,EDU_HIGH,EDU_COLLEGE,EDU_BACHELOR
00601,13670,3203,4780,2722,2965
00602,31483,7341,9593,4765,9784
00603,40573,8089,14715,6325,11444
00606,5038,1429,2486,431,692
00610,22034,4955,8858,3465,4756
00612,50003,7551,18337,9489,14626
00616,8617,1552,3474,1370,2221
00617,18986,3347,7460,3402,4777
00622,5887,1281,2106,1024,1476
00623,33741,5827,11886,5299,10729
00624,18056,3237,7201,2915,4703
00627,26285,4982,9227,5104,6972
00631,1398,395,503,213,287
00637,18722,3403,7984,2582,4753
00638,13727,3310,5190,2146,3081
00641,22671,4313,8703,4110,5545
00646,29031,4076,10068,4938,9949
00647,4722,923,2328,576,895
00650,11183,1590,5264,2051,2278
00652,2899,500,1032,611,756
00653,9148,1611,4589,1102,1846
00656,15370,2702,5713,2582,4373
00659,32491,6598,9471,5524,10898
00660,13466,2383,4855,2516,3712
00662,33011,6222,12133,5956,8700
00664,11871,2388,5229,1986,2268
00667,19576,4439,7591,2833,4713
00669,21275,5651,7279,4048,4297
00670,7093,2334,2979,477,1303
00674,32285,6072,11351,5496,9366
00676,29537,7028,11071,4915,6523
00677,11836,2273,4478,1542,3543
00678,20742,3665,7925,4083,5069
00680,41531,7879,16197,8669,8786
00682,25746,3739,8374,6377,7256
00683,25530,4911,9924,4076,6619
00685,31444,8779,10176,5418,7071
00687,24328,4891,8622,4888,5927
00688,10504,1891,4723,1443,2447
00690,4110,816,1375,345,1574
00692,27927,4672,10582,5387,7286
00693,44739,9265,14828,8087,12559
00694,66,37,0,14,15
00698,30251,5981,11709,4359,8202
00703,21612,4818,8931,3734,4129
00704,6176,1011,2483,847,1835
00705,19088,3049,8072,3086,4881
00707,9059,2127,3051,1847,2034
00714,14197,2140,6611,2112,3334
00715,2805,718,1286,432,369
00716,22882,3094,7837,3585,8366
00717,13817,1608,5060,2868,4281
00718,19955,3953,7804,3303,4895
00719,23363,4061,7883,5629,5790
00720,16836,3863,7263,2507,3203
00723,14314,2806,5418,3027,3063
00725,65435,8662,24016,11525,21232
00727,44666,5685,12832,8230,17919
00728,32135,4509,11435,5831,10360
00729,40520,6376,15846,7116,11182
00730,26333,4068,10776,4387,7102
00731,11709,2434,4743,1667,2865
00735,10086,1395,4323,1970,2398
00736,39498,7138,15045,5896,11419
00738,25199,3032,10251,4946,6970
