SPATIAL,INC_TOTAL,INC_A,INC_B,INC_C,INC_D,INC_E,INC_F,INC_G,INC_H,INC_I,INC_J
00601,5959,2717.304,786.5880000000001,852.1370000000001,566.105,506.51500000000004,357.53999999999996,59.59,77.46700000000001,23.836000000000002,11.918000000000001
00602,12785,4116.77,2135.095,2301.2999999999997,1444.7050000000002,1304.07,907.7349999999999,357.97999999999996,191.775,25.57,0.0
00603,18828,6100.272,2617.092,3050.136,2409.984,1976.9399999999998,1656.8640000000003,451.872,338.90400000000005,112.968,112.968
00606,1975,914.425,221.2,349.575,252.8,191.575,45.425,0.0,0.0,0.0,0.0
00610,9210,2523.5399999999995,1399.92,2035.41,1381.5,967.05,626.2800000000001,165.78000000000003,82.89000000000001,18.42,18.42
00612,22931,7888.263999999999,2453.6169999999997,4425.683,2637.065,2384.824,2040.8590000000002,687.93,206.37900000000002,160.517,45.862
00616,3499,1168.666,636.818,563.339,444.373,363.896,136.461,90.974,83.976,0.0,10.497
00617,8334,3091.9139999999998,958.4100000000001,1625.13,1158.4260000000002,558.378,616.7160000000001,225.01800000000003,108.34200000000001,0.0,0.0
00622,2503,770.924,387.965,405.486,360.432,235.282,157.689,75.09,22.527,30.036,55.066
00623,14627,4739.148,1843.002,2969.2810000000004,1521.208,1418.8189999999997,1360.3110000000001,380.302,321.79400000000004,73.135,0.0
00624,7922,2487.508,1164.5339999999999,1536.868,1172.4560000000001,847.654,507.00800000000004,118.83,79.22,0.0,7.922000000000001
00627,11816,3320.2960000000003,1725.136,2658.6,1394.288,1264.312,968.9119999999999,271.768,141.792,23.632,47.264
00631,648,379.08,86.83200000000001,66.09599999999999,38.232,31.752000000000002,46.007999999999996,0.0,0.0,0.0,0.0
00637,7413,2624.2019999999998,1104.537,1297.2749999999999,741.3000000000001,763.5390000000001,652.344,155.673,66.71700000000001,0.0,7.413
00638,6000,2472.0,876.0,1056.0,594.0,516.0,390.0,72.0,30.0,0.0,0.0
00641,9440,3115.2000000000003,1302.72,1812.48,1255.52,1019.5200000000001,670.2399999999999,179.35999999999999,75.52,9.44,0.0
00646,12079,2609.0640000000003,978.399,2089.6670000000004,1304.5320000000002,1666.902,1715.2179999999998,495.2389999999999,797.214,241.58,181.185
00647,1818,638.118,401.778,407.23199999999997,165.438,79.992,92.71799999999999,30.906000000000002,3.636,0.0,0.0
00650,4994,1613.0619999999997,809.028,1108.6680000000001,509.388,579.304,324.61,49.94,0.0,0.0,0.0
00652,1367,369.09000000000003,194.11399999999998,337.649,150.37,102.52499999999999,106.626,31.441,76.55199999999999,0.0,0.0
00653,3717,1509.102,613.3050000000001,717.381,282.492,379.13399999999996,130.095,33.453,26.019,7.434,22.302
00656,6651,2287.944,1070.811,1396.71,724.959,571.986,425.664,53.208,113.06700000000001,0.0,6.651
00659,14339,3914.5470000000005,2251.223,2667.0540000000005,1892.748,1476.9170000000001,1190.1370000000002,516.2040000000001,415.83099999999996,14.339,0.0
00660,6233,1707.8419999999999,710.562,1271.532,916.251,766.6590000000001,610.8340000000001,155.82500000000002,81.02900000000001,0.0,6.2330000000000005
00662,14321,4883.461,1761.4830000000002,2849.879,1675.5569999999998,1661.2359999999999,973.8280000000001,286.42,171.852,14.321,42.963
00664,4749,1552.923,745.593,1006.788,674.358,360.924,284.94,75.984,52.239000000000004,0.0,0.0
00667,8457,3391.257,1344.663,1640.658,710.388,811.8720000000001,355.194,118.39799999999998,59.19899999999999,25.371000000000002,8.457
00669,9771,4074.5070000000005,1494.963,1446.1080000000002,1025.955,967.3290000000001,517.8629999999999,136.79399999999998,78.168,9.771,19.542
00670,3109,1343.0880000000002,338.881,540.966,351.317,329.554,149.232,31.09,24.872,0.0,0.0
00674,15958,5074.644,1914.96,2888.398,1883.044,1851.128,1260.682,590.446,398.95000000000005,79.79,0.0
00676,12550,4643.5,1920.1499999999999,2208.8,1242.45,1355.4,878.5000000000001,163.15,112.95000000000002,25.1,12.55
00677,5236,1555.0919999999999,586.4319999999999,1240.932,712.096,623.0840000000001,387.46400000000006,52.36,36.651999999999994,10.472,31.416
00678,9360,3163.68,1469.52,2152.8,870.4800000000001,889.2,580.32,102.96000000000001,84.24000000000001,37.44,9.36
00680,18926,7135.102,2536.0840000000003,3444.5319999999997,2252.194,1741.192,1097.7079999999999,321.742,208.186,75.70400000000001,94.63
