SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
01001,55049,41663,10113,226,444,6,1181,1416
01003,199510,165950,18406,1228,1325,0,3889,8712
01005,26614,12212,12745,46,118,0,346,1147
01007,22572,16876,4788,81,14,0,311,502
01009,57704,50582,899,171,92,0,924,5036
01011,10552,2288,7967,84,84,0,116,13
01013,20280,10704,8825,15,203,0,280,253
01015,115883,84592,23561,229,1079,6,2434,3982
01017,34018,19303,13770,78,312,0,407,148
01019,25897,23792,1193,152,86,0,269,405
01021,43817,35321,4386,134,191,0,444,3341
01023,13287,7468,5611,2,6,0,126,74
01025,24847,13213,11304,8,114,33,132,43
01027,13483,10822,1988,119,0,0,135,419
01029,14991,13911,354,21,86,0,270,349
01031,50991,36393,8671,421,623,0,1539,3344
01033,54377,42878,8509,328,231,31,1094,1306
01035,12697,6440,5868,19,14,0,132,224
01037,10864,7064,3516,8,0,0,136,140
01039,37729,31509,4896,130,176,23,417,578
01041,13896,9848,3290,123,232,0,169,234
01043,81316,75188,843,425,497,15,922,3426
01045,49607,34820,9625,286,508,11,1436,2921
01047,41426,11628,28790,91,163,24,333,397
01049,70937,57470,1048,912,214,70,1281,9942
01051,80957,59656,17092,164,457,0,1320,2268
01053,37875,22950,12245,1313,40,67,480,780
01055,103363,81069,15799,414,699,67,1563,3752
01057,16783,14304,2054,0,45,0,236,144
01059,31573,24650,1282,234,102,18,230,5057
01061,26765,22499,2522,126,103,0,523,992
01063,8587,1472,6971,35,14,0,42,53
01065,15159,6059,8835,49,16,9,8,183
01067,17187,11784,4793,0,0,0,175,435
01069,103891,70077,27401,355,853,20,1874,3311
01071,52608,47080,1733,406,196,21,1737,1435
01073,659096,333970,279059,1148,9909,174,10520,24316
01075,14066,12116,1584,42,0,0,123,201
01077,92641,78737,9045,371,629,15,1627,2217
01079,33433,25629,3800,1653,31,0,1629,691
01081,153947,104480,35541,178,5469,11,2587,5681
01083,90257,69892,11440,527,1113,12,2138,5135
01085,10565,2578,7886,8,0,0,43,50
01087,19684,3036,16049,56,44,0,175,324
01089,349973,228991,83934,1925,8528,322,9911,16362
01091,20066,9120,10587,50,43,0,76,190
01093,30239,27834,982,115,98,0,484,726
01095,94534,77841,1976,411,556,20,1520,12210
01097,414291,239671,145837,2514,8053,49,7210,10957
01099,21975,12013,9321,251,50,0,204,136
01101,227392,81730,128907,292,5082,34,3817,7530
01103,119555,91602,14410,628,802,5,2769,9339
01105,9856,2920,6760,4,18,0,60,94
01107,20042,10994,8372,24,12,9,145,486
01109,33277,18822,12451,215,704,2,353,730
01111,22615,17060,4339,74,51,44,386,661
01113,58636,28565,24639,216,398,128,1716,2974
01115,86576,74718,8099,240,691,0,867,1961
01117,205951,162487,23815,400,4088,67,3233,11861
01119,13285,3265,9520,41,375,0,45,39
01121,81057,51487,25979,208,422,29,1180,1752
01123,40958,28291,11069,138,208,0,264,988
01125,202471,127514,62688,266,3033,29,2275,6666
01127,65593,58748,3711,36,302,0,1313,1483
01129,16909,11001,4189,1321,110,0,69,219
01131,11119,3050,8000,7,0,0,0,62
01133,24013,22638,98,87,84,0,406,700
02013,3299,492,218,1099,972,36,151,331
02016,5714,1488,311,721,2059,141,204,790
02020,299321,179128,15902,20098,26350,6681,25071,26091
02050,17885,1864,135,14540,161,42,784,359
02060,942,500,3,299,11,2,81,46
02068,2125,1812,21,66,72,0,137,17
02070,4980,838,12,3550,108,1,324,147
02090,100150,71633,3982,6011,2888,504,7646,7486
02100,2528,1944,1,120,85,5,332,41
02105,2107,1018,73,649,48,1,213,105
02110,32524,21356,364,3787,2110,324,2535,2048
02122,57637,46917,323,4110,761,190,3122,2214
02130,13715,8858,68,1775,1037,10,1333,634
02150,13918,7067,16,1745,3044,136,699,1211
02158,7993,298,28,7067,31,0,462,107
02164,1411,286,11,961,40,1,83,29
02170,98679,79313,971,4975,1311,175,7471,4463
02180,9879,1510,75,7143,127,22,790,212
02185,9681,3056,46,4929,572,160,547,371
02188,7723,862,25,6340,61,1,271,163
02195,3196,2142,75,239,142,20,247,331
02198,6374,2877,13,2551,69,38,605,221
02220,8921,5544,195,1115,605,33,873,556
02230,1014,775,5,47,76,0,47,64
02240,6970,5255,88,768,124,3,379,353
02261,9522,6679,12,1369,353,51,614,444
02275,2401,1594,7,420,83,0,225,72
02282,646,279,7,201,38,7,96,18
02290,5600,1190,21,3924,41,0,317,107
04001,72346,13436,352,52597,259,64,1335,4303
04003,128177,72163,4761,1047,2219,363,3527,44097
04005,138064,75410,1854,35829,2315,153,3573,18930
04007,53179,33621,294,8132,404,0,864,9864
04009,37529,19313,680,4741,265,49,435,12046
04011,9224,4407,164,301,51,0,11,4290
04012,20304,11956,77,2449,141,48,317,5316
04013,4088549,2327125,204984,63011,153811,7856,93470,1238292
04015,203629,159345,1938,3850,2339,279,3891,31987
04017,108209,45369,728,46709,659,100,2687,11957
04019,1003338,534494,32104,23918,26022,1286,23249,362265
04021,397604,230156,17231,18348,6598,1314,7885,116072
04023,46547,7110,93,78,357,18,155,38736
04025,218586,177403,1133,3389,1747,47,4145,30722
04027,203292,66568,3652,1792,2333,255,2720,125972
05001,18569,13071,4783,11,1,0,147,556
05003,20989,14270,5440,43,0,0,156,1080
05005,40992,39042,101,218,227,7,561,836
05007,245231,183280,3502,3182,8632,1045,6185,39405
05009,37301,35190,127,284,191,46,604,859
05011,11096,6266,3223,0,0,0,34,1573
05013,5210,3796,1140,6,11,15,44,198
05015,27690,22453,141,95,245,141,594,4021
05017,11189,4379,6067,47,46,0,72,578
05019,22684,15736,5348,33,174,0,380,1013
05021,15202,14596,76,62,26,0,167,275
