SPATIAL,RAC_TOTAL,RAC_WHITE,RAC_BLACK,RAC_INDIAN,RAC_ASIAN,RAC_PACIFIC,RAC_OTHER,RAC_HISPANIC
00601,17800,28,0,8,0,0,0,17764
00602,39716,1527,22,0,59,0,991,37117
00603,51565,645,186,0,191,11,604,49928
00606,6320,11,0,0,0,0,0,6309
00610,27976,411,15,0,0,1,155,27394
00612,63884,165,10,11,0,0,41,63657
00616,10321,47,0,0,0,0,0,10274
00617,24648,98,30,0,11,0,18,24491
00622,7385,65,0,0,0,0,0,7320
00623,42711,60,0,0,0,0,0,42651
00624,23945,78,0,0,0,0,0,23867
00627,33481,229,14,0,0,0,0,33238
00631,1689,9,0,0,0,0,0,1680
00637,24013,173,0,0,0,0,0,23840
00638,17795,68,0,0,0,0,0,17727
00641,28925,106,12,0,0,0,0,28807
00646,38292,548,48,0,33,0,48,37615
00647,5711,0,0,0,0,0,0,5711
00650,14569,61,0,0,0,0,0,14508
00652,3893,16,0,0,0,0,0,3877
00653,12125,56,0,0,0,0,0,12069
00656,19996,73,0,0,15,0,7,19901
00659,41327,77,0,0,0,0,0,41250
00660,16678,55,38,0,0,0,0,16585
00662,41986,386,104,0,0,0,119,41377
00664,15693,25,0,0,0,0,0,15668
00667,24492,29,0,0,0,0,0,24463
00669,27063,107,7,0,0,0,29,26920
00670,9087,93,0,0,0,0,0,8994
00674,41545,437,107,0,0,0,33,40968
00676,38488,127,0,1,0,18,190,38152
00677,14755,856,0,0,27,0,548,13324
00678,26490,149,80,0,0,0,18,26243
00680,50628,258,48,0,19,6,19,50278
00682,32433,243,1,0,23,0,111,32055
00683,32058,104,23,0,0,0,15,31916
00685,40102,305,0,0,0,0,61,39736
00687,32087,29,0,18,0,0,26,32014
00688,12797,112,0,0,9,0,0,12676
00690,5328,65,0,0,0,0,200,5063
00692,36700,440,16,0,13,0,138,36093
00693,57428,1787,65,0,0,1,44,55531
00694,66,0,0,0,0,0,0,66
00698,38502,130,0,0,6,0,0,38366
00703,27797,181,0,0,0,0,0,27616
00704,8390,11,19,0,17,0,77,8266
00705,24387,55,6,0,19,0,20,24287
